normalized,display,temas,variantes
jco,Jco,4,JCO | Jco
konga,KONGA,4,KONGA | Konga
los cantantes,Los Cantantes,4,LOS CANTANTES | Los Cantantes
los totora,LOS TOTORA,4,LOS TOTORA | Los Totora
los villacorta,Los villacorta,4,Los  Villacorta | Los Villacorta | Los villacorta
tierra seca,Tierra Seca,4,Tierra Seca | Tierra seca
zafra negra,Zafra Negra,4,ZAFRA NEGRA | Zafra Negra
divas by jimenez,DIVAS BY JIMENEZ,3,DIVAS BY JIMENEZ | DIVAS by Jiménez | Divas By Jimenez
grupo extra,GRUPO EXTRA,3,GRUPO EXTRA | Grupo Extra
grupo kandela,Grupo Kandela,3,GRUPO KANDELA | Grupo Kandela
la fuerza,La Fuerza,3,La Fuerza | La fuerza
oscar de leon,Oscar De Leon,3,Oscar De Leon | Oscar de Leon
oscarito,Oscarito,3,OSCARITO | Oscarito
revolucion salsera,Revolución Salsera,3,Revolucion Salsera | Revolución Salsera
ruben blades,RUBEN BLADES,3,RUBEN BLADES | Ruben Blades | Rubén Blades
americo,Americo,2,Americo | Américo
anae & sabrosa,Anae & Sabrosa,2,ANAÉ & Sabrosa | Anae & Sabrosa
ashley,ASHLEY,2,ASHLEY | Ashley
charlie cruz,Charlie Cruz,2,CHARLIE CRUZ | Charlie Cruz
doble filo,Doble filo,2,Doble Filo | Doble filo
grupo swing,GRUPO SWING,2,GRUPO SWING | Grupo Swing
hermanos silva,Hermanos silva,2,Hermanos Silva | Hermanos silva
jossie esteban y la patrulla 15,Jossie Esteban Y La Patrulla 15,2,Jossie Esteban Y La Patrulla 15 | Jossie Esteban y la Patrulla 15
oro solido,Oro  Solido,2,Oro  Solido | Oro Solido
orquesta del sabor,Orquesta del Sabor,2,Orquesta Del Sabor | Orquesta del Sabor
sarao latino,Sarao Latino,2,Sarao Latino | Sarao latino
sintonia show,Sintonia Show,2,Sintonia Show | Sintonía Show
st. pedro,st. Pedro,2,St. Pedro | st. Pedro
victor waill,VICTOR WAILL,2,VICTOR WAILL | Victor Waill
xandro y su punto,XANDRO Y SU PUNTO,2,XANDRO Y SU PUNTO | Xandro y Su Punto
